source_file,sheet,section,metric_label,date,value_raw,value_num,is_percent,is_total,context_left,context_top,context_left_stack,context_top_stack,scenario
202502 Daily Cuarentaytres.xlsx,Daily,,,2025-01-01,452,452.0,False,False,Total Covers,0.193162393162393,Total Covers|0|54.8903225806452,0.193162393162393|9.15718922459397|19733.742779|33.0925573141531|71314.461012,
202502 Daily Cuarentaytres.xlsx,Daily,,,2024-01-01,636.938553276302,636.938553276302,False,False,567.2,0.338974359,567.2|452|Total Covers,0.338974359|9.71292698669152|14687.8408091433|37.2788008731325|56372.8208325418,
202502 Daily Cuarentaytres.xlsx,Daily,,,2025-01-01,2591.836316,2591.836316,False,False,,48,,48|0.266666666666667|13.2971650860215|1236.636353|30.7282496989247,
202502 Daily Cuarentaytres.xlsx,Daily,,,2024-01-01,0,0.0,False,False,2534.28619354839,0,2534.28619354839|2591.836316,0|0|0|0|0,
202502 Daily Cuarentaytres.xlsx,Daily,,,2025-01-01,20809.8417305,20809.8417305,False,False,Total Revenue,452,Total Revenue|0|2534.28619354839,452|0.193162393162393|9.15718922459397|19733.742779|33.0925573141531,
202502 Daily Cuarentaytres.xlsx,Daily,,,2024-01-01,29122.486731071,29122.486731071,False,False,26187.624,636.938553276302,26187.624|20809.8417305|Total Revenue,636.938553276302|0.338974359|9.71292698669152|14687.8408091433|37.2788008731325,
202502 Daily Cuarentaytres.xlsx,Daily,,,2025-01-01,53.9965899166667,53.9965899166667,False,False,,2591.836316,,2591.836316|48|0.266666666666667|13.2971650860215|1236.636353,
202502 Daily Cuarentaytres.xlsx,Daily,,,2024-01-01,0,0.0,False,False,46.17,0,46.17|53.9965899166667,0|0|0|0|0,
202502 Daily Cuarentaytres.xlsx,Daily,,,2025-01-01,46.0394728550885,46.0394728550885,False,False,Avg.cover,20809.8417305,Avg.cover|0|46.17,20809.8417305|452|0.193162393162393|9.15718922459397|19733.742779,
202502 Daily Cuarentaytres.xlsx,Daily,,,2024-01-01,45.722600055013,45.722600055013,False,False,46.17,29122.486731071,46.17|46.0394728550885|Avg.cover,29122.486731071|636.938553276302|0.338974359|9.71292698669152|14687.8408091433,
202502 Daily Cuarentaytres.xlsx,Daily,,,2024-01-01,0,0.0,False,False,1983.12108253381,0,1983.12108253381|1931.272689,0|0|0|0|0,
202502 Daily Cuarentaytres.xlsx,Daily,,,2025-01-01,17028.407817,17028.407817,False,False,Food Revenue,46.0394728550885,Food Revenue|0|1983.12108253381,46.0394728550885|20809.8417305|452|0.193162393162393|9.15718922459397,
202502 Daily Cuarentaytres.xlsx,Daily,,,2024-01-01,22788.8300694778,22788.8300694778,False,False,20492.2511861827,45.722600055013,20492.2511861827|17028.407817|Food Revenue,45.722600055013|29122.486731071|636.938553276302|0.338974359|9.71292698669152,
202502 Daily Cuarentaytres.xlsx,Daily,,,2025-01-01,40.2348476875,40.2348476875,False,False,,1931.272689,,1931.272689|53.9965899166667|2591.836316|48|0.266666666666667,
202502 Daily Cuarentaytres.xlsx,Daily,,,2024-01-01,0,0.0,False,False,36.1287926413659,0,36.1287926413659|40.2348476875,0|0|0|0|0,
