source_file,section,metric_label,date,value_raw,value_num,is_percent,is_total
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-27,-9.000000023e-06,-9.000000023e-06,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-28,1472.272686,1472.272686,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-29,3410.090628,3410.090628,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-30,2339.045285,2339.045285,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-31,2495.363652,2495.363652,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-01,29.99639423,29.99639423,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-02,35.91879965,35.91879965,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-03,34.34920635,34.34920635,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-04,38.28400143,38.28400143,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-05,29.42687747,29.42687747,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-06,31.88623559,31.88623559,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-07,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-08,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-09,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-10,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-11,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-12,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-13,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-14,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-15,37.67550169,37.67550169,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-16,33.63635196,33.63635196,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-17,34.92824637,34.92824637,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-18,31.95106739,31.95106739,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-19,35.00067264,35.00067264,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-20,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-21,31.67903527,31.67903527,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-22,31.44628003,31.44628003,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-23,33.25174642,33.25174642,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-24,36.92391317,36.92391317,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-25,32.30578786,32.30578786,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-26,33.52372318,33.52372318,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-27,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-28,35.9090899,35.9090899,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-29,41.08542925,41.08542925,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-30,38.98408808,38.98408808,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-31,33.72113043,33.72113043,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,BEBIDA,2025-01-01,1322.45,1322.45,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,BEBIDA,2025-01-02,1001.545455,1001.545455,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,BEBIDA,2025-01-03,1033.090909,1033.090909,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,BEBIDA,2025-01-04,1570.35,1570.35,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,BEBIDA,2025-01-05,1297.818182,1297.818182,False,False
